Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Sikh temple shooting,"Oak Creek, Wisconsin",5/8/2012,2012,7,3,10,Mass,Religious,40,35-64,White,Male,Yes,Oak Creek,Wisconsin,WI,42.885850299999994,-87.86313620000001
Aurora theater shooting,"Aurora, Colorado",20-07-2012,2012,12,70,82,Spree,Other,24,19-34,White,Male,Yes,Aurora,Colorado,CO,39.706038,-104.820594
Seattle cafe shooting,"Seattle, Washington",20-05-2012,2012,6,1,7,Mass,Other,40,35-64,White,Male,Yes,Seattle,Washington,WA,47.6038321,-122.3300624
Oikos University killings,"Oakland, California",2/4/2012,2012,7,3,10,Mass,School,43,35-64,Asian,Male,Yes,Oakland,California,CA,37.8043808,-122.2708166
Su Jung Health Sauna shooting,"Norcross, Georgia",21-02-2012,2012,5,0,5,Mass,Other,59,35-64,Asian,Male,Yes,Norcross,Georgia,GA,33.9412127,-84.2135309
Seal Beach shooting,"Seal Beach, California",12/10/2011,2011,8,1,9,Mass,Other,42,35-64,White,Male,Yes,Seal Beach,California,CA,33.741176,-118.1046356
IHOP shooting,"Carson City, Nevada",6/9/2011,2011,5,7,12,Mass,Other,32,19-34,Latino,Male,Yes,Carson City,Nevada,NV,39.1637984,-119.76740339999999
Tucson shooting,"Tucson, Arizona",8/1/2011,2011,6,13,19,Mass,Other,22,19-34,White,Male,Yes,Tucson,Arizona,AZ,32.335941,-110.975132
Hartford Beer Distributor shooting,"Manchester, Connecticut",3/8/2010,2010,9,2,11,Mass,Workplace,34,19-34,Black,Male,No,Manchester,Connecticut,CT,41.798764,-72.570068
Coffee shop police killings,"Parkland, Washington",29-11-2009,2009,4,1,5,Mass,Other,37,35-64,Black,Male,Yes,Parkland,Washington,WA,47.152770000000004,-122.467308
Fort Hood massacre,"Fort Hood, Texas",5/11/2009,2009,13,31,44,Mass,Military,39,35-64,Other,Male,Unclear,Fort Hood,Texas,TX,31.135557000000002,-97.783664
Binghamton shootings,"Binghamton, New York",3/4/2009,2009,14,4,18,Mass,Other,41,35-64,Asian,Male,Yes,Binghamton,New York,NY,42.099802000000004,-75.917723
Carthage nursing home shooting,"Carthage, North Carolina",29-03-2009,2009,8,3,11,Mass,Other,45,35-64,White,Male,Yes,Carthage,North Carolina,NC,35.333434000000004,-79.414592
Atlantis Plastics shooting,"Henderson, Kentucky",25-06-2008,2008,6,1,7,Spree,Workplace,25,19-34,White,Male,No,Henderson,Kentucky,KY,37.76721,-87.55737420000001
Northern Illinois University shooting,"DeKalb, Illinois",14-02-2008,2008,5,21,26,Mass,School,27,19-34,White,Male,Yes,DeKalb,Illinois,IL,41.9294736,-88.7503647
